INFO:root:Location id here is 2840
INFO:root:The keyword seed is meal delivery
INFO:google.ads.google_ads.client:Request made: ClientCustomerId: 6416261647, Host: googleads.googleapis.com:443, Method: /google.ads.googleads.v2.services.KeywordPlanKeywordService/MutateKeywordPlanKeywords, RequestId: GjGUPkoPlnliLdhFopKHVQ, IsFault: False, FaultMessage: None
INFO:google.ads.google_ads.client:Request made: ClientCustomerId: 6416261647, Host: googleads.googleapis.com:443, Method: /google.ads.googleads.v2.services.KeywordPlanKeywordService/MutateKeywordPlanKeywords, RequestId: 3eTHam2s7UJ_1PGiGKo1Ag, IsFault: False, FaultMessage: None
INFO:google.ads.google_ads.client:Request made: ClientCustomerId: 6416261647, Host: googleads.googleapis.com:443, Method: /google.ads.googleads.v2.services.KeywordPlanKeywordService/MutateKeywordPlanKeywords, RequestId: hNv1Xi8BV_bKEXt7IfHCLQ, IsFault: False, FaultMessage: None
INFO:google.ads.google_ads.client:Request made: ClientCustomerId: 6416261647, Host: googleads.googleapis.com:443, Method: /google.ads.googleads.v2.services.KeywordPlanKeywordService/MutateKeywordPlanKeywords, RequestId: gOMNV8_4gYL0gQPx9iJ5nw, IsFault: False, FaultMessage: None
INFO:google.ads.google_ads.client:Request made: ClientCustomerId: 6416261647, Host: googleads.googleapis.com:443, Method: /google.ads.googleads.v2.services.KeywordPlanKeywordService/MutateKeywordPlanKeywords, RequestId: vrTB0zPgeN70n_aenJrfjw, IsFault: False, FaultMessage: None
INFO:google.ads.google_ads.client:Request made: ClientCustomerId: 6416261647, Host: googleads.googleapis.com:443, Method: /google.ads.googleads.v2.services.KeywordPlanKeywordService/MutateKeywordPlanKeywords, RequestId: qzjbhoMSCKypnaYfddSUfA, IsFault: False, FaultMessage: None
INFO:google.ads.google_ads.client:Request made: ClientCustomerId: 6416261647, Host: googleads.googleapis.com:443, Method: /google.ads.googleads.v2.services.KeywordPlanKeywordService/MutateKeywordPlanKeywords, RequestId: KOr-zrJ-3XX0BR0Gz7n_NA, IsFault: False, FaultMessage: None
INFO:google.ads.google_ads.client:Request made: ClientCustomerId: 6416261647, Host: googleads.googleapis.com:443, Method: /google.ads.googleads.v2.services.KeywordPlanKeywordService/MutateKeywordPlanKeywords, RequestId: N50lGX18AZ487dtaatZHrQ, IsFault: False, FaultMessage: None
INFO:google.ads.google_ads.client:Request made: ClientCustomerId: 6416261647, Host: googleads.googleapis.com:443, Method: /google.ads.googleads.v2.services.KeywordPlanKeywordService/MutateKeywordPlanKeywords, RequestId: TA7I6yXjMNMTIBce8FXVPA, IsFault: False, FaultMessage: None
INFO:google.ads.google_ads.client:Request made: ClientCustomerId: 6416261647, Host: googleads.googleapis.com:443, Method: /google.ads.googleads.v2.services.KeywordPlanKeywordService/MutateKeywordPlanKeywords, RequestId: up3ZDsecjKLyuOAnS1yyVg, IsFault: False, FaultMessage: None
